Date,Year,Type,Country,Source
07-Jun,2023,Unprovoked,bahamas,"j. marchand, gsaf"
28-May,2023,Unprovoked,french polynesia,"j. marchand, gsaf"
28-May,2023,Unprovoked,new caledonia,"j. marchand, gsaf"
24-May,2023,Unprovoked,turks and caicos,"j. marchand, gsaf"
24-May,2023,Unconfirmed,bahamas,"j. marchand, gsaf, b. hendricks & a. zafares, lifeguard systems"
20-May,2023,Provoked,usa,lisa lamb
21-May,2023,Unprovoked,usa,"j. marchand, gsaf"
19-May,2023,Provoked,usa,"ap, 5/19/2023"
18-May,2023,Unprovoked,usa,"j. marchand, gsaf"
14-May,2023,Unprovoked,usa,"the island eye, 5/15/2023"
13-May,2023,Unprovoked,australia,"b. myatt & s. de marchi, gsaf"
11-May,2023,Unprovoked,usa,".a. curriie, gsaf"
11-May,2023,Provoked,usa,"j.marcharnd, gsaf"
09-May,2023,Provoked,cuba,"ciber cuba, 5/10/.2023"
05-May,2023,Unprovoked,usa,"news19, 5/5/2023"
03-May,2023,Unprovoked,south africa,"news 24, 5/3/2023"
01-May,2023,Unprovoked,south africa,"news 24, 5/2/2023"
29-Apr,2023,Unprovoked,australia,"the west austalian, 4/30/2023"
29-Apr,2023,Unprovoked,australia,"9 news, 4/29/20234%"
23-Apr,2023,Unprovoked,usa,"a. currie, gsaf"
22-Apr,2023,Unprovoked,australia,"the west australian, 4/22/2023"
11-Apr,2023,Unprovoked,usa,"nbc-6,4/11/2023"
09-Apr,2023,Watercraft,usa,"a/ currie, gsaf"
09-Apr,2023,Unprovoked,usa,"khon2, 4/9/2023"
25-Mar,2023,Unprovoked,usa,"yahoo news, 3/28/2023"
25-Mar,2023,Provoked,cuba,"efe, 03/29/2023"
22-Mar,2023,Unprovoked,australia,"a. currie, gsaf"
19-Mar,2023,Unprovoked,usa,"khon2, 3/19/2023"
17-Mar,2023,Unconfirmed,mexico,"denver7, 3/29/2023"
16-Mar,2023,Unprovoked,australia,"b. myatt, gsaf"
06-Mar,2023,Unprovoked,brazil,"jc, 3/6/2023"
05-Mar,2023,Unprovoked,brazil,"jc, 3/6/2023"
02-Mar,2023,Unprovoked,seychelles,"midlibre, 3/18/2023"
21-Feb,2023,Unprovoked,brazil,"globo, 2/21/2023"
19-Feb,2023,Unprovoked,new caledonia,"b, myatt, gsaf"
19-Feb,2023,Unprovoked,usa,"cbs, 2/22/2023"
18-Feb,2023,Unconfirmed,argentina,"el pais,  2/27/2023"
17-Feb,2023,Unconfirmed,fiji,"fiji sun, 2/25/2023"
04-Feb,2023,Unprovoked,australia,"b. myatt, gsaf"
30-Jan,2023,Unprovoked,australia,"9news, 1/31/2023"
29-Jan,2023,Unprovoked,new caledonia,"les nouvelles caledoinnie, 1/30/2023"
08-Jan,2023,Unprovoked,usa,"miami herald, 1/14/2023"
05-Jan,2023,Unprovoked,mexico,"el imparcial., 1/5/2023"
01-Jan,2023,Provoked,usa,"a. currie, gsaf"
Unknown,2023,Provoked,maldives,"m. michaelson, gsaf"
30-Dec,2022,Provoked,south africa,"a currie, gsaf"
13-Dec,2022,Unprovoked,usa,"a. currie, gsaf"
11-Dec,2022,Unprovoked,australia,"a. currie, gsaf"
09-Dec,2022,Unprovoked,usa,"a. currie, gsaf"
08-Dec,2022,Unprovoked,usa,"a.currie, gsaf"
07-Dec,2022,Unprovoked,usa,"a.currie, gsaf"
27-Nov,2022,Unprovoked,usa,"a. currie, gsaf"
04-Nov,2022,Unprovoked,usa,"r.collier, gsaf"
03-Nov,2022,Provoked,usa,"miami herald, 11/4/2022"
31-Oct,2022,Unprovoked,usa,"r. collier, gsaf"
28-Oct,2022,Sea Disaster,usa,"a. currie, gsaf"
28-Oct,2022,Unprovoked,bahamas,"bahamas press, 10/29/2022"
27-Oct,2022,Provoked,usa,"wxxv, 10/27/2022"
25-Oct,2022,Unprovoked,usa,"independent record, 10/27.2022"
23-Oct,2022,Unprovoked,australia,"s. de marchi & b. myatt,, gsaf"
10-Oct,2022,Provoked,usa,"nbc miami, 10/10/2022"
08-Oct,2022,Unprovoked,usa,"people magazine, 10/14/2022"
07-Oct,2022,Unprovoked,australia,"abc,net, 10/07/2022"
06-Oct,2022,Unprovoked,australia,"the standard, 10/08/2022"
02-Oct,2022,Unprovoked,usa,"outsider, 10/3/2022"
25-Sep,2022,Unprovoked,south africa,"mirror, 9/25/2022"
22-Sep,2022,Unprovoked,usa,"go fund me, 10/2022"
06-Sep,2022,Unprovoked,bahamas,"b. myatt, gsaf"
03-Sep,2022,Unprovoked,usa,"star advertiser, 9/3/2022"
31-Aug,2022,Unprovoked,australia,"surfline, 9/2/2022"
17-Aug,2022,Unprovoked,australia,a currie. gsaf
15-Aug,2022,Unprovoked,usa,"c. creswell, gsaf"
