Activity,Injury,Fatal,Species,Age,Age_group,,,,,,
diving,Minor injury from captive shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
fishing,Forearm bitten by hooked shark PROVOKED INCIDENT,non-fatal,tiger shark,,Unknown,,,,,,
swimming,Torso bitten,non-fatal,other,52,Adult,,,,,,
surfing,Foot bitten,non-fatal,other,16,Teen,,,,,,
boating,Puncture wounds to torso,non-fatal,bull shark,20,Young Adult,,,,,,
swimming,"Minor injury, small lacerations to right foot",non-fatal,other,15,Teen,,,,,,
surfing,"Minor injury, lacerations to left ankle & foot ",non-fatal,other,19,Young Adult,,,,,,
swimming,Lacerations to right foot,non-fatal,other,30,Young Adult,,,,,,
other,Lacerations to arm,non-fatal,bull shark,19,Young Adult,,,,,,
surfing,Minor injury to shoulder,non-fatal,other,51,Adult,,,,,,
surfing,"No injury, shark bit surfboard",non-fatal,other,20,Young Adult,,,,,,
surfing,"No injury, surfboard bumped by shark for 20 minutes",non-fatal,white shark,,Unknown,,,,,,
fishing,"No injury, kayak bitten",non-fatal,white shark,,Unknown,,,,,,
snorkeling,Left calf severely bitten,non-fatal,other,36,Adult,,,,,,
wading,Calf bitten,non-fatal,whaler shark,15,Teen,,,,,,
swimming,Right calf bitten,non-fatal,other,14,Teen,,,,,,
swimming,Foot injured. Shark involvment uncomfirmed,unknown,other,43,Adult,,,,,,
wading,Lacerations to right thigh & left foot,non-fatal,other,30,Young Adult,,,,,,
fishing,"Lacerations to thumb, ring and pinky fingers of right hand ",non-fatal,bull shark,48,Adult,,,,,,
surfing,Right foot bitten,non-fatal,other,18,Teen,,,,,,
swimming,Hand bitten,non-fatal,other,,Unknown,,,,,,
surfing,6 to 8 puncture wounds to right hand,non-fatal,other,20,Young Adult,,,,,,
surfing,"No injury, board damaged",non-fatal,tiger shark,,Unknown,,,,,,
surfing,Superficial injuries to upper leg may have been caused by surfboard fin,unknown,other,9,Child,,,,,,
swimming,Right foot bitten,non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to leg & ankle,non-fatal,other,,Unknown,,,,,,
wading,Lacerations to lower leg,non-fatal,other,,Unknown,,,,,,
other,Left shin bitten by captive shark PROVOKED INCIDENT,non-fatal,reef shark,40,Adult,,,,,,
fishing,Bitten on the nose by a hooked shark PROVOKED INCIDENT,non-fatal,other,38,Adult,,,,,,
wading,Left heel & calf bitten,non-fatal,other,38,Adult,,,,,,
surfing,"No injury, shark's fin caught his leg",non-fatal,other,19,Young Adult,,,,,,
surfing,Knee bitten,non-fatal,other,21,Young Adult,,,,,,
snorkeling,No injury,non-fatal,white shark,,Unknown,,,,,,
swimming,Shark involvement prior to death unconfirmed,unknown,other,45,Adult,,,,,,
snorkeling,Right foot bitten,non-fatal,tiger shark,63,Senior,,,,,,
swimming,Circular bite on left thigh,non-fatal,other,68,Senior,,,,,,
swimming,Lower leg & foot injured,non-fatal,other,13,Teen,,,,,,
surfing,Lacerations to left index finger & thumb ,non-fatal,other,24,Young Adult,,,,,,
fishing,"No injury to occupants, shark holed the transom-mounted livewell ",non-fatal,bull shark,,Unknown,,,,,,
surfing,Left foot bitten,non-fatal,tiger shark,26,Young Adult,,,,,,
surfing,Lacerations to right ankle ,non-fatal,other,27,Young Adult,,,,,,
surfing,Punctures & lacerations to right calf & calf,non-fatal,other,11,Child,,,,,,
surfing,Lacerations to 3 fingers of left hand ,non-fatal,other,42,Adult,,,,,,
fishing,Right hand bitten by hooked shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
swimming,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",non-fatal,other,59,Adult,,,,,,
surfing,Lacerations to right forearm & hand,non-fatal,other,29,Young Adult,,,,,,
fishing,Leg bitten  by shark after he shot at it & missed  PROVOKED INCIDENT,non-fatal,tiger shark,16,Teen,,,,,,
swimming,Death due to drowning. Shark bite may have been postmortem,unknown,other,36,Adult,,,,,,
fishing,Survived,non-fatal,other,,Unknown,,,,,,
fishing,Leg bitten,non-fatal,tiger shark,30,Young Adult,,,,,,
diving,Head & torso bitten,non-fatal,white shark,41,Adult,,,,,,
swimming,Shark involvement prior to death unconfirmed,unknown,other,20,Young Adult,,,,,,
surfing,"Presumed FATAL, body not recovered",fatal,tiger shark,24,Young Adult,,,,,,
surfing,"No injury, shark damaged surfboard",non-fatal,other,,Unknown,,,,,,
surfing,No injury,unknown,other,54,Adult,,,,,,
surfing,"No injury, shark removed piece of surfboard",non-fatal,tiger shark,24,Young Adult,,,,,,
surfing,Left leg bitten,non-fatal,other,25,Young Adult,,,,,,
surfing,Foot bitten,non-fatal,other,10,Child,,,,,,
surfing,"Minor injuries, surfboard bitten",non-fatal,white shark,43,Adult,,,,,,
fishing,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",non-fatal,other,25,Young Adult,,,,,,
other,"Right leg severed, left leg lacerated",non-fatal,white shark,15,Teen,,,,,,
swimming,Laceration to left thigh & left hand,non-fatal,other,29,Young Adult,,,,,,
other,Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,non-fatal,bull shark,,Unknown,,,,,,
surfing,"No injury, surfboard bitten",non-fatal,white shark,22,Young Adult,,,,,,
fishing,Lower right leg and foot bitten,non-fatal,other,15,Teen,,,,,,
surfing,Left ankle bitten,non-fatal,other,20,Young Adult,,,,,,
surfing,Lacerations to lower left leg,non-fatal,other,,Unknown,,,,,,
fishing,No injury; 4m white shark made a threat display,unknown,other,36,Adult,,,,,,
surfing,Big toe bitten,non-fatal,other,19,Young Adult,,,,,,
surfing,Laceration to left thigh,non-fatal,other,16,Teen,,,,,,
swimming,Minor injury to left hand,non-fatal,other,55,Adult,,,,,,
surfing,Left torso grazed,non-fatal,other,52,Adult,,,,,,
diving,"Killed by a stingray, not a shark - a tragedy for his family and marine wildlife",unknown,other,44,Adult,,,,,,
swimming,Arm bitten,non-fatal,other,,Unknown,,,,,,
surfing,"No injury, shark rammed surfboard",non-fatal,white shark,37,Adult,,,,,,
surfing,Laceration & puncture wounds to foot,non-fatal,other,23,Young Adult,,,,,,
surfing,"No injury, shark towed  surfer & board",non-fatal,whaler shark,,Unknown,,,,,,
fishing,Shark involvement prior to death not confirmed,unknown,other,34,Young Adult,,,,,,
surfing,FATAL,fatal,other,34,Young Adult,,,,,,
surfing,"No injury, surfboard leash severed",non-fatal,other,,Unknown,,,,,,
other,Foot severed,non-fatal,white shark,24,Young Adult,,,,,,
wading,Lacerations & punctures to left foot,non-fatal,other,59,Adult,,,,,,
fishing,Thigh bitten,non-fatal,bull shark,,Unknown,,,,,,
surfing,Minor injury,non-fatal,white shark,41,Adult,,,,,,
other,"Bruises, laceration to head, spinal cord injury & neck broken at C5/C6 ",non-fatal,mako shark,,Unknown,,,,,,
surfing,Foot bitten,non-fatal,other,15,Teen,,,,,,
surfing,"No injury, surf ski bitten",non-fatal,white shark,19,Young Adult,,,,,,
surfing,Minor lacerations to right foot,non-fatal,other,14,Teen,,,,,,
surfing,Right foot bitten,non-fatal,bull shark,,Unknown,,,,,,
swimming,Hand & wrist severely bitten,unknown,other,7,Child,,,,,,
swimming,Ankle & foot bitten,non-fatal,other,21,Young Adult,,,,,,
other,FATAL,fatal,tiger shark,,Unknown,,,,,,
wading,Dorsum of left foot bitten,non-fatal,other,40,Adult,,,,,,
other,Foot bitten,non-fatal,bull shark,14,Teen,,,,,,
swimming,Right calf bitten,non-fatal,other,13,Teen,,,,,,
fishing,Lacerations & puncture wound  to arm,non-fatal,reef shark,28,Young Adult,,,,,,
fishing,Minor injuries,non-fatal,reef shark,35,Young Adult,,,,,,
fishing,Non-swimmer pulled off pier& into the water by a hooked shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
fishing,Right arm severely bitten,non-fatal,other,25,Young Adult,,,,,,
surfing,2-inch puncture wounds on right foot,non-fatal,other,22,Young Adult,,,,,,
surfing,Four 1-inch puncture wounds on left foot ,non-fatal,other,24,Young Adult,,,,,,
surfing,"No injury, knocked off surfboard",non-fatal,white shark,40,Adult,,,,,,
fishing,"4"" laceration to left forearm",non-fatal,tiger shark,26,Young Adult,,,,,,
other,"No injury to occupants, boat damaged by hooked shark PROVOKED INCIDENT",non-fatal,tiger shark,,Unknown,,,,,,
surfing,"No injury, shark bumped surfboard",non-fatal,other,31,Young Adult,,,,,,
fishing,Knee bitten after diver poked shark PROVOKED INCIDENT,non-fatal,reef shark,15,Teen,,,,,,
surfing,"Injuries to left thigh, calf & foot",non-fatal,other,33,Young Adult,,,,,,
other,Laceration to leg,non-fatal,tiger shark,,Unknown,,,,,,
swimming,2 lacerations on lower right leg,non-fatal,other,,Unknown,,,,,,
snorkeling,Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,non-fatal,other,46,Adult,,,,,,
surfing,Feet bitten,non-fatal,other,54,Adult,,,,,,
fishing,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,non-fatal,bull shark,35,Young Adult,,,,,,
surfing,Minor laceration to left foot,non-fatal,whaler shark,15,Teen,,,,,,
swimming,Left leg bitten,non-fatal,tiger shark,35,Young Adult,,,,,,
wading,Minor injury to right hand & thigh,non-fatal,other,11,Child,,,,,,
fishing,Reportedly FATAL but few details,fatal,other,,Unknown,,,,,,
surfing,5 puncture wounds in left calf,non-fatal,tiger shark,28,Young Adult,,,,,,
swimming,"FATAL, but shark involvement prior to death unconfirmed",unknown,other,17,Teen,,,,,,
surfing,Lacerations to right hand,non-fatal,tiger shark,21,Young Adult,,,,,,
surfing,"No injury, shark nudged surfboard",non-fatal,whaler shark,15,Teen,,,,,,
wading,Lacerations to foot,non-fatal,other,18,Teen,,,,,,
swimming,Puncture wound on arm,non-fatal,other,,Unknown,,,,,,
fishing,No injury to occupants; shark nudged the 5.3 m boat,non-fatal,white shark,,Unknown,,,,,,
surfing,2 bite marks on right calf,non-fatal,other,15,Teen,,,,,,
swimming,Severe bite to right leg FATAL,fatal,tiger shark,24,Young Adult,,,,,,
kayaking,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,non-fatal,other,57,Adult,,,,,,
fishing,Right arm  bitten,non-fatal,other,34,Young Adult,,,,,,
surfing,"No injury, but 2 small nicks on wetsuit",non-fatal,other,,Unknown,,,,,,
other,Lacerations to left elbow,non-fatal,white shark,52,Adult,,,,,,
swimming,FATAL,fatal,bull shark,21,Young Adult,,,,,,
surfing,3 puncture wounds in right wrist & hand,non-fatal,other,21,Young Adult,,,,,,
fishing,Lacerations to little finger,non-fatal,other,49,Adult,,,,,,
surfing,Lacerations to ankle & calf,non-fatal,white shark,30,Young Adult,,,,,,
swimming,Left hand bitten,non-fatal,tiger shark,29,Young Adult,,,,,,
fishing,Right forearm & elbow bitten,non-fatal,white shark,44,Adult,,,,,,
fishing,"No injury to occupants, hydrofoil of outboard motor bitten ",non-fatal,white shark,,Unknown,,,,,,
surfing,Left foot bitten,non-fatal,other,,Unknown,,,,,,
surfing,Right thumb & palm lacerated,non-fatal,other,23,Young Adult,,,,,,
fishing,"No injury to occupant, shark bit outboard motor",non-fatal,white shark,,Unknown,,,,,,
surfing,"2 lacerations on leg, each 4"" to 5"" long",non-fatal,other,18,Teen,,,,,,
surfing,"Cut on finger, board bitten",non-fatal,other,26,Young Adult,,,,,,
fishing,Arm bitten,non-fatal,other,,Unknown,,,,,,
surfing,Left foot bitten,non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to right thigh,non-fatal,other,17,Teen,,,,,,
other,"No injury to occupants, shark lifted bow of boat 3 times",non-fatal,white shark,,Unknown,,,,,,
fishing,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,non-fatal,other,32,Young Adult,,,,,,
surfing,Puncture wounds to right foot,non-fatal,other,18,Teen,,,,,,
surfing,"No injury, board bitten",non-fatal,other,25,Young Adult,,,,,,
surfing,"No injury, board bumped",non-fatal,white shark,26,Young Adult,,,,,,
wading,Puncture wounds to foot,non-fatal,other,15,Teen,,,,,,
surfing,Right foot bitten,non-fatal,other,20,Young Adult,,,,,,
surfing,No injury,non-fatal,white shark,36,Adult,,,,,,
surfing,Leg bitten,non-fatal,white shark,20,Young Adult,,,,,,
wading,Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT,non-fatal,other,15,Teen,,,,,,
surfing,"No injury, surfboard bitten",non-fatal,tiger shark,22,Young Adult,,,,,,
other,No injury ,non-fatal,reef shark,57,Adult,,,,,,
surfing,Five 1-inch lacerations to left foot,non-fatal,other,48,Adult,,,,,,
diving,Lacerations to right side of face,non-fatal,other,35,Young Adult,,,,,,
surfing,"No injury, shark bit ski",non-fatal,white shark,52,Adult,,,,,,
surfing,"No injury, knocked off board",non-fatal,tiger shark,28,Young Adult,,,,,,
surfing,Lacerations to legs,non-fatal,white shark,26,Young Adult,,,,,,
surfing, No injury,non-fatal,whaler shark,44,Adult,,,,,,
surfing,Lacerations to dorsum of left foot,unknown,other,,Unknown,,,,,,
surfing,"Injuries to fingers, calf  & heel",non-fatal,other,68,Senior,,,,,,
surfing,FATAL,fatal,other,18,Teen,,,,,,
wading,Calf severely lacerated,non-fatal,bull shark,18,Teen,,,,,,
surfing,Lacerations to right arm & thigh,non-fatal,white shark,40,Adult,,,,,,
surfing,Right foot bitten,non-fatal,other,62,Senior,,,,,,
other,FATAL,fatal,white shark,23,Young Adult,,,,,,
surfing,Lower right leg lacerated,non-fatal,white shark,37,Adult,,,,,,
swimming,Bitten underneath left arm,non-fatal,other,8,Child,,,,,,
surfing,Laceration on right wrist & crescent of puncture wounds on  forearm ,non-fatal,other,16,Teen,,,,,,
swimming,Puncture wounds on left foot ,non-fatal,other,14,Teen,,,,,,
fishing,"FATAL, shark involvement prior to death is unconfirmed",unknown,other,,Unknown,,,,,,
wading,Laceration on the back of left hand & toothmarks on wrist,non-fatal,other,13,Teen,,,,,,
surfing,"Right foot: Toes and back of foot, minor injury",non-fatal,other,61,Senior,,,,,,
surfing,"Straight 2.5"" laceration on top of left ankle",unknown,other,25,Young Adult,,,,,,
swimming,Presumed to have drowned until his body washed ashore 2 weeks later with shark bites,unknown,other,,Unknown,,,,,,
swimming,Lacerations of left forearm,non-fatal,other,22,Young Adult,,,,,,
boating,Left foot bitten,non-fatal,other,14,Teen,,,,,,
fishing,"Leg severely bitten, surgically amputated",non-fatal,bull shark,16,Teen,,,,,,
swimming,"FATAL, leg bitten",fatal,bull shark,14,Teen,,,,,,
swimming,FATAL,fatal,other,7,Child,,,,,,
surfing,Left foot bitten,non-fatal,other,,Unknown,,,,,,
swimming,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",unknown,other,49,Adult,,,,,,
swimming,Foot bitten,non-fatal,other,20,Young Adult,,,,,,
diving,Knee bitten,non-fatal,white shark,38,Adult,,,,,,
surfing,Dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,unknown,white shark,17,Teen,,,,,,
fishing,FATAL,fatal,white shark,22,Young Adult,,,,,,
wading,Two 2-inch lacerations on right foot,non-fatal,other,6,Child,,,,,,
swimming,Left foot bitten,non-fatal,other,33,Young Adult,,,,,,
surfing,Left buttock  & legs lacerated ,non-fatal,other,32,Young Adult,,,,,,
fishing,Severe injury to lower leg,non-fatal,other,,Unknown,,,,,,
kayaking,"No injury, shark bit kayak",non-fatal,tiger shark,,Unknown,,,,,,
fishing,Thigh bitten,non-fatal,other,,Unknown,,,,,,
surfing,"No injury, board damaged",non-fatal,tiger shark,47,Adult,,,,,,
fishing,Laceration on left thigh PROVOKED INCIDENT,non-fatal,mako shark,25,Young Adult,,,,,,
fishing,Minor cuts above his right eye,non-fatal,other,20,Young Adult,,,,,,
surfing,"No injury, board bitten",non-fatal,whaler shark,40,Adult,,,,,,
wading,Right lower leg bitten,non-fatal,other,70,Senior,,,,,,
surfing,Foot injured ,unknown,other,52,Adult,,,,,,
surfing,Left foot bitten ,non-fatal,other,37,Adult,,,,,,
other,Left calf injured,non-fatal,hammerhead,,Unknown,,,,,,
surfing,"Lacerations to right calf, puncture wounds on right foot",non-fatal,other,32,Young Adult,,,,,,
surfing,"No injury, shark rammed surfboard",non-fatal,other,,Unknown,,,,,,
surfing,Right leg bitten,non-fatal,other,,Unknown,,,,,,
snorkeling,FATAL,fatal,white shark,26,Young Adult,,,,,,
other,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,non-fatal,tiger shark,45,Adult,,,,,,
fishing,"No injury, netted shark dragged them 350 metres out to sea PROVOKED INCIDENT",non-fatal,whaler shark,,Unknown,,,,,,
diving,Thighs bitten,non-fatal,other,,Unknown,,,,,,
swimming,Finger bitten,non-fatal,bull shark,18,Teen,,,,,,
fishing,Speared shark bit his chest PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
surfing,"No injury, knocked off board, shark bit board",non-fatal,tiger shark,,Unknown,,,,,,
fishing,Hand bitten,non-fatal,reef shark,,Unknown,,,,,,
surfing,Right thigh & ankle injured,non-fatal,other,12,Child,,,,,,
swimming,Left foot severed,non-fatal,other,19,Young Adult,,,,,,
fishing,No injury. Towed by speared shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
other,"No injury to occupants, one of the boat's flotation tanks holed PROVOKED INCIDENT",non-fatal,whaler shark,,Unknown,,,,,,
fishing,"No injury, kayak bumped repeatedly",non-fatal,white shark,39,Adult,,,,,,
surfing,FATAL,fatal,white shark,18,Teen,,,,,,
fishing,"FATAL, leg bitten",fatal,bull shark,38,Adult,,,,,,
surfing,3 lacerations on foot,non-fatal,other,20,Young Adult,,,,,,
swimming,FATAL,fatal,white shark,77,Senior,,,,,,
surfing,"Lacerations to hand, knee & thigh ",non-fatal,white shark,38,Adult,,,,,,
snorkeling,Thigh bitten,non-fatal,other,,Unknown,,,,,,
diving,Forearm bitten,non-fatal,other,,Unknown,,,,,,
diving,Left forearm bitten,non-fatal,bull shark,40,Adult,,,,,,
other,Right ankle & foot lacerated,non-fatal,white shark,52,Adult,,,,,,
surfing,Right foot lacerated,non-fatal,whaler shark,59,Adult,,,,,,
surfing,Lower leg bitten,non-fatal,white shark,,Unknown,,,,,,
fishing,Left shoulder bitten,non-fatal,tiger shark,34,Young Adult,,,,,,
surfing,Puncture wounds on right foot,non-fatal,other,34,Young Adult,,,,,,
other,"Leg severely bitten, surgically amputated",non-fatal,tiger shark,15,Teen,,,,,,
surfing,"No injury, knocked off surfboard",non-fatal,other,16,Teen,,,,,,
surfing,"No injury, shark struck board & spun it around",non-fatal,other,40,Adult,,,,,,
fishing,"No injury to occupants, boat damaged",non-fatal,tiger shark,,Unknown,,,,,,
surfing,Leg bitten,non-fatal,white shark,26,Young Adult,,,,,,
surfing,Minor scratch on calf,unknown,other,,Unknown,,,,,,
swimming,FATAL,fatal,other,,Unknown,,,,,,
other,Calf bitten & both hands injured,non-fatal,tiger shark,24,Young Adult,,,,,,
surfing,Foot bitten,non-fatal,white shark,,Unknown,,,,,,
diving,FATAL,fatal,white shark,50,Adult,,,,,,
swimming,"Back, buttocks, left hand & left side of face bitten",non-fatal,other,47,Adult,,,,,,
fishing,Minor puncture wounds to leg,non-fatal,other,30,Young Adult,,,,,,
fishing,No injury to occupants; boat damaged,non-fatal,white shark,,Unknown,,,,,,
surfing,Right foot bitten,non-fatal,other,20,Young Adult,,,,,,
fishing,Thigh & calf bitten,non-fatal,white shark,,Unknown,,,,,,
surfing,Right calf bitten,non-fatal,other,28,Young Adult,,,,,,
swimming,Right forearm & wrist lacerated,non-fatal,other,13,Teen,,,,,,
swimming,Right foot bitten,non-fatal,other,19,Young Adult,,,,,,
fishing,Right forearm nearly severed and bites above & below the right knee,non-fatal,bull shark,11,Child,,,,,,
fishing,"No injury to occupants; shark mouthed motor, severed anchor line",non-fatal,white shark,,Unknown,,,,,,
fishing,Suffered broken ribs when the shark's tail fin slammed into his chest,non-fatal,mako shark,51,Adult,,,,,,
surfing,"FATAL, abdomen, pelvis & leg bitten      ",fatal,other,30,Young Adult,,,,,,
snorkeling,Hand severed,non-fatal,other,,Unknown,,,,,,
wading,Right foot lacerated,non-fatal,other,7,Child,,,,,,
surfing,"No injury, shark struck his board",non-fatal,white shark,45,Adult,,,,,,
fishing,"No injury, shark made threat displays & diver fended it off with his speargun",unknown,other,,Unknown,,,,,,
other,Ankle & foot lacerated,non-fatal,whaler shark,17,Teen,,,,,,
swimming,Right wrist  & left arm lacerated,non-fatal,other,8,Child,,,,,,
swimming,"FATAL, leg severed ",fatal,white shark,21,Young Adult,,,,,,
wading,Puncture wounds on shin,non-fatal,other,16,Teen,,,,,,
swimming,"Left hand, foot severed &  left calf & arm bitten",non-fatal,bull shark,17,Teen,,,,,,
surfing,No injury,non-fatal,other,44,Adult,,,,,,
swimming,Calf & foot lacerated,non-fatal,other,9,Child,,,,,,
swimming,Single puncture wound on the foot,unknown,other,9,Child,,,,,,
wading,Hips & thighs bitten,non-fatal,other,24,Young Adult,,,,,,
fishing,Left forearm bitten PROVOKED INCIDENT,non-fatal,reef shark,63,Senior,,,,,,
surfing,"No injury, board bitten",non-fatal,mako shark,28,Young Adult,,,,,,
swimming,FATAL,fatal,other,22,Young Adult,,,,,,
diving,Puncture wounds on wrist,non-fatal,other,,Unknown,,,,,,
fishing,"No injury to occupants, boat scratched by shark",non-fatal,white shark,,Unknown,,,,,,
fishing,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",fatal,other,,Unknown,,,,,,
fishing,"He was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",fatal,other,,Unknown,,,,,,
surfing,FATAL Severe wound to right thigh & calf,fatal,tiger shark,57,Adult,,,,,,
surfing,"Left leg lacerated, right leg severed above the knee ",non-fatal,white shark,16,Teen,,,,,,
surfing,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",unknown,other,22,Young Adult,,,,,,
surfing,15 puncture wounds on foot,non-fatal,bull shark,20,Young Adult,,,,,,
other,"Lower left leg bitten, surgically amputated",non-fatal,bull shark,22,Young Adult,,,,,,
surfing,Heel bitten,non-fatal,bull shark,,Unknown,,,,,,
surfing,Right thigh bitten,non-fatal,other,20,Young Adult,,,,,,
swimming,Minor lacerations & abrasions on forearm,non-fatal,other,61,Senior,,,,,,
snorkeling,Lacerations to left foot,non-fatal,other,,Unknown,,,,,,
fishing,No injury,non-fatal,whaler shark,,Unknown,,,,,,
surfing,"No injury, board bitten",non-fatal,tiger shark,51,Adult,,,,,,
fishing,Shin & calf bitten,non-fatal,whaler shark,47,Adult,,,,,,
swimming,"FATAL, right thigh & hip bitten   ",fatal,other,29,Young Adult,,,,,,
surfing,Thigh lacerated,non-fatal,other,15,Teen,,,,,,
swimming,Three toes lacerated,non-fatal,other,,Unknown,,,,,,
fishing,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",unknown,other,31,Young Adult,,,,,,
snorkeling,FATAL,fatal,other,,Unknown,,,,,,
snorkeling,Leg bitten,non-fatal,other,22,Young Adult,,,,,,
other,Left leg bitten,non-fatal,white shark,46,Adult,,,,,,
surfing,Puncture wounds to dorsum of right foot,non-fatal,tiger shark,21,Young Adult,,,,,,
swimming,Lower back & hand bitten,non-fatal,bull shark,,Unknown,,,,,,
fishing,Right leg bitten,non-fatal,bull shark,40,Adult,,,,,,
surfing,"No injury to occupants, stern of ski bitten",non-fatal,mako shark,,Unknown,,,,,,
diving,"No injury, swim fin ripped off",non-fatal,other,,Unknown,,,,,,
surfing,Foot lacerated,non-fatal,other,22,Young Adult,,,,,,
fishing,"No injury, no attack, shark took fish from back of kayak",unknown,other,,Unknown,,,,,,
surfing,No inury,non-fatal,other,,Unknown,,,,,,
other,No injury to occupants,non-fatal,mako shark,,Unknown,,,,,,
swimming,Knee lacerated,unknown,other,28,Young Adult,,,,,,
swimming,Foot bitten,non-fatal,other,13,Teen,,,,,,
swimming,FATAL,fatal,other,45,Adult,,,,,,
surfing,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",non-fatal,other,36,Adult,,,,,,
swimming,"After biting Halverson, it bit Scott's thigh",non-fatal,other,,Unknown,,,,,,
swimming,Hand & foot bitten,non-fatal,other,,Unknown,,,,,,
fishing,"Presumed FATAL, severed hand recovered",fatal,tiger shark,21,Young Adult,,,,,,
surfing,Severe abrasion to left lateral calf,non-fatal,other,35,Young Adult,,,,,,
surfing,Left index finger lacerated,non-fatal,tiger shark,35,Young Adult,,,,,,
surfing,Lacerations to hand,non-fatal,other,24,Young Adult,,,,,,
snorkeling,Hand/elbow injured,non-fatal,white shark,,Unknown,,,,,,
surfing,"No injury to occupants, hull of ski bitten",non-fatal,white shark,,Unknown,,,,,,
fishing,Left forearm bitten PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
surfing,Left foot (sole) bitten,non-fatal,other,18,Teen,,,,,,
surfing,Left ankle & foot lacerated,non-fatal,whaler shark,22,Young Adult,,,,,,
surfing,Left arm severed below shoulder,non-fatal,tiger shark,13,Teen,,,,,,
surfing,Laceration on right ankle & heel,non-fatal,other,46,Adult,,,,,,
snorkeling,Left forearm lacerated,unknown,other,56,Adult,,,,,,
surfing,Foot bitten,non-fatal,other,19,Young Adult,,,,,,
swimming,"Fatal, drowning or scavenging.  Two hours later his body, with bite marks,  washed ashore.",fatal,other,,Unknown,,,,,,
surfing,Minor puncture wounds in hand,non-fatal,other,,Unknown,,,,,,
surfing,5 to 6 lacerations on right foot & ankle,non-fatal,other,18,Teen,,,,,,
surfing,Left ankle bitten when he stepped on the shark PROVOKED INCIDENT,non-fatal,other,30,Young Adult,,,,,,
surfing,Left foot bitten,non-fatal,other,50,Adult,,,,,,
fishing,"Left thigh abraded, right knee and right index finger injured",non-fatal,other,41,Adult,,,,,,
boating,FATAL abdomen bitten,fatal,other,40,Adult,,,,,,
surfing,Arm lacerated,non-fatal,other,16,Teen,,,,,,
surfing,Left foot bitten,non-fatal,other,21,Young Adult,,,,,,
surfing,Left heel lacerated,non-fatal,other,19,Young Adult,,,,,,
surfing,3 puncture wounds on left foot,non-fatal,other,17,Teen,,,,,,
surfing,Left foot: lacerations on heel and sole,non-fatal,other,30,Young Adult,,,,,,
fishing,"No injury to occupants, shark bit boat",non-fatal,other,,Unknown,,,,,,
swimming,Puncture wounds on inner thigh,unknown,other,,Unknown,,,,,,
other,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",fatal,white shark,19,Young Adult,,,,,,
fishing,2 lacerations on each side of Achilles tendon,non-fatal,other,,Unknown,,,,,,
fishing,PROVOKED INCIDENT Hooked shark pulled onboard bit his arm  ,non-fatal,bull shark,,Unknown,,,,,,
swimming,"FATAL          Hip & upper thigh bitten, femoral artery severed ",fatal,white shark,50,Adult,,,,,,
swimming,Left ankle lacerated,unknown,other,31,Young Adult,,,,,,
surfing,"No injury, wetsuit torn & board bitten",non-fatal,white shark,16,Teen,,,,,,
surfing,"No injury, flung into water when shark bit rudder of ski",non-fatal,other,37,Adult,,,,,,
surfing,Laceration to little finger of  right hand,non-fatal,other,18,Teen,,,,,,
wading,Heel & sole of left foot,non-fatal,other,15,Teen,,,,,,
fishing,Right thigh bitten,non-fatal,other,58,Adult,,,,,,
surfing,3 puncture wounds on right lateral ankle PROVOKED INCIDENT,non-fatal,other,10,Child,,,,,,
surfing,Left foot bitten,non-fatal,other,21,Young Adult,,,,,,
fishing,Left calf bitten,non-fatal,bull shark,39,Adult,,,,,,
fishing,Laceration to toe,non-fatal,hammerhead,,Unknown,,,,,,
fishing,Leg bitten,non-fatal,other,,Unknown,,,,,,
snorkeling,Chest & buttocks  bitten,non-fatal,reef shark,,Unknown,,,,,,
surfing,Right foot & toes lacerated,non-fatal,other,17,Teen,,,,,,
